Headlines,Time,Description
,,
"The big chains will be the last survivors without more stimulus relief, Jim Cramer warns"," 6:56  PM ET Thu, 14 May 2020","""Without more stimulus, I think you should just buy the big chains that can survive the lockdown and a slow reopening of the economy,"" Cramer said."
"Charts suggest more pain is in store before market reaches a 'buyable bottom,' Jim Cramer says"," 7:27  AM ET Fri, 15 May 2020","Jim Cramer, host of ""Mad Money,"" took some pointers from volatility expert Mark Sebastian to understand why the market could sell off more."
Cisco CEO Chuck Robbins: The future post-pandemic workplace will be based on a 'hybrid model'," 9:28  PM ET Thu, 14 May 2020","Cisco Systems CEO Chuck Robbins said the coronavirus pandemic will ""change things like how we think about talent in the future."""
Cramer's lightning round: Shopify is the 'hottest stock in the market'," 6:55  PM ET Wed, 13 May 2020","""Mad Money"" host Jim Cramer rings the lightning round bell, which means he's giving his answers to callers' stock questions at rapid speed."
"Charts show Nvidia, AMD and Qualcomm have 'a lot more room to run,' Jim Cramer says"," 6:55  PM ET Wed, 13 May 2020","""In a market that's suddenly rolling over ... we need to circle the wagons around high-quality stocks that we can confidently buy into this newfound weakness,"" the ""Mad Money"" host said."
"Jim Cramer reveals his playbook, says investors can start slowly buying stocks Thursday afternoon"," 6:33  PM ET Wed, 13 May 2020","The ""Mad Money"" host instructs investors to keep their eyes on the food and drug stocks as a sign to start building a position in the market."
"The US is running out of time to stave off a depression without reopening, Jim Cramer warns"," 8:45  PM ET Tue, 12 May 2020","""[W]ithout more aggressive action from the federal government, we may have no choice but to reopen as the economy spirals into a depression,"" the ""Mad Money"" host said."
"Uber should be willing to pay more in 'genius move' to buy GrubHub, Jim Cramer says"," 7:24  PM ET Tue, 12 May 2020","""In one fell swoop, this deal would create an incredible amount of value for Uber and GrubHub's shareholders,"" the ""Mad Money"" host said."
Cramer's lightning round: Dow Inc is 'not doing well'," 7:14  PM ET Tue, 12 May 2020","""Mad Money"" host Jim Cramer rings the lightning round bell, which means he's giving his answers to callers' stock questions at rapid speed."
Speaker Nancy Pelosi: $3 trillion coronavirus relief bill is a 'big ticket' for a 'big problem'," 6:53  PM ET Tue, 12 May 2020","""I think that there's an opportunity here for us because this is only centered — only centered — on the coronavirus,"" the top Democrat in Congress told CNBC's Jim Cramer."
"Kevin O'Leary: If you're worried about dividend cuts, it's 'time to use actively managed ETFs'"," 2:53  PM ET Tue, 12 May 2020","Kevin O'Leary, chairman of O'Shares ETFs, makes his case for why investors should consider actively managed exchange-traded funds."
"Coronavirus has ushered in the 'death of the call center,' LivePerson CEO says"," 2:37  PM ET Tue, 12 May 2020",LivePerson CEO Rob Locascio told CNBC's Jim Cramer that demand for its cloud-based customer messaging system spiked amid the coronavirus pandemic.
Cramer's lightning round: 'You don't want to be around any company cutting dividends'," 8:24  PM ET Mon, 11 May 2020","""Mad Money"" host Jim Cramer rings the lightning round bell, which means he's giving his answers to callers' stock questions at rapid speed."
Jim Cramer reviews top 10 stocks 'for this difficult moment' on the 'Cramer Covid-19 Index'," 7:19  PM ET Mon, 11 May 2020","""Remember, there's nothing irrational about these rallies. The stay-at-home names are simply the right stocks for this difficult moment,"" Cramer said."
,,
"'Quality really matters' for investors in 2020, says 'Shark Tank's' Kevin O'Leary"," 3:50  PM ET Mon, 11 May 2020","""Shark Tank"" investor Kevin O'Leary, the chairman of O'Shares ETFs, on what he'll be watching in the market for the rest of the year with CNBC's Bob Pisani."
"Dividend payers are still 'winners in this market,' ETF analyst says. Here's why"," 9:15  AM ET Sat,  9 May 2020","As more and more S&P 500 companies cut or suspend their dividend payments, one issuer speaks to how his dividend-based exchange-traded fund is managing the shift."
"Financials are flashing a 'warning sign' to investors, says trader"," 7:02  AM ET Fri,  8 May 2020","""Financials are giving us the warning sign to be very, very cautious with this overall market,"" says Quint Tatro, president of Joule Financial."
Norwegian Cruise Line CEO: 'We expect to sail sometime in 2020'," 9:01  PM ET Thu,  7 May 2020","Norwegian Cruise is working ""shoulder-to-shoulder"" with health officials to ""develop an enhanced protocol"" to relaunch cruise trips, CEO Frank Del Rio said."
Cramer's lightning round: 'I do not like the bank stocks'," 8:24  PM ET Thu,  7 May 2020","""Mad Money"" host Jim Cramer rings the lightning round bell, which means he's giving his answers to callers' stock questions at rapid speed."
Jim Cramer on Moderna vaccine-sparked rally: 'Let's not get ahead of ourselves'," 7:56  PM ET Thu,  7 May 2020","""This market does have a tendency to bounce between unbridled optimism and total despair — no middle ground,"" the ""Mad Money"" host said."
,,
'It was suddenly Cyber Monday' — Etsy CEO says sales spiked 79% in April," 7:11  PM ET Thu,  7 May 2020","""When the CDC changed its [face mask] guidelines ... we all of a sudden saw overwhelming amounts of demand come on to our site,"" Etsy CEO Josh Silverman told CNBC."
Beyond Meat CEO looks to 'win consumers' over during meat supply shortage with 'value packs'," 8:52  PM ET Wed,  6 May 2020","""We view this as a massive opportunity for us to drive trial and win consumers over into our segment,"" Beyond Meat CEO Ethan Brown said in a ""Mad Money"" interview."
Jim Cramer on Wall Street trading trends: 'This action makes little sense'," 7:37  PM ET Wed,  6 May 2020","""The staples and the retailers should be moving in opposite directions"" meaning ""somebody's wrong here,"" the ""Mad Money"" host said."
Cramer's lightning round: 'General Dynamics is a very good long-term hold'," 7:21  PM ET Wed,  6 May 2020","""Mad Money"" host Jim Cramer rings the lightning round bell, which means he's giving his answers to callers' stock questions at rapid speed."
"Facebook, Alphabet and Amazon are in a 'three-horse race' in advertising, Jim Cramer says"," 6:48  PM ET Wed,  6 May 2020","""With this latest quarter, they've pretty much become the only game in town,"" the ""Mad Money"" host said."
Markets are seeing light at the end of the tunnel: Fidelity," 3:24  AM ET Wed,  6 May 2020","After a slew of bad news for the markets since the outbreak of coronavirus, markets are slowly tracing back the recline. Jurrien Timmer of Fidelity Investments says that while we can't precisely guess the future, the markets and a ""resilient"" S&P are moving to look at a light at the end of the tunnel."
Masimo CEO says its remote oxygen monitors were made to mitigate diseases like coronavirus," 9:36  PM ET Tue,  5 May 2020",Masimo CEO Joe Kiani discussed how the medical device maker's telehealth systems can be useful in the fight against coronavirus.
Cramer's lighting round: JPMorgan Chase is an 'out-of-favor stock'," 7:11  PM ET Tue,  5 May 2020","""Mad Money"" host Jim Cramer rings the lightning round bell, which means he's giving his answers to callers' stock questions at rapid speed."
"The 'beginning of the end' of the health-care recession is 'finally arising,' Jim Cramer says"," 8:48  PM ET Tue,  5 May 2020","""[A]s the country gradually reopens, there are some industries that should do much, much better,"" the ""Mad Money"" host said."
"Many restaurants would 'shut down completely' under Tennessee's reopening guidelines, Jim Cramer says"," 6:57  PM ET Tue,  5 May 2020","""These rules are safe and healthy for the customer, which is great, but there's simply no way most restaurants can possibly obey them without going right out of business,"" the ""Mad Money"" host said."
Emergent Biosolutions CEO on Trump's promise for a vaccine this year — 'Nobody can guarantee anything'," 8:52  PM ET Mon,  4 May 2020","""We're here ... doing everything we can to make sure that a vaccine and treatments are available as soon as possible,"" CEO Robert Kramer said."
"Cramer's lightning round: 'If I really want solar, I want Tesla'"," 3:13  PM ET Tue,  2 June 2020","""Mad Money"" host Jim Cramer rings the lightning round bell, which means he's giving his answers to callers' stock questions at rapid speed."
"Warren Buffett's exit from airline stocks is a wake-up call for index investors, Jim Cramer says"," 6:40  PM ET Mon,  4 May 2020","""I recommend selling"" some position in the S&P 500 index fund ""if the [upward] streak continues,"" the ""Mad Money"" host said."
'She had the vision' — Salesforce's Benioff cites Rhode Island governor for contact tracing tools," 8:28  PM ET Mon,  4 May 2020",Salesforce's Benioff said it was the Rhode Island governor's idea to pair contact tracing with coronavirus testing as Salesforce sought to launch Work.com.
,,
Here's how dividend-based ETFs are managing shareholder payout cuts: Issuer," 3:58  PM ET Mon,  4 May 2020","Simeon Hyman of ProShares, Dave Nadig of ETF Trends and Chris Hempstead of IndexIQ talk what could lie ahead for dividend-based ETFs as corporations cut their shareholder payouts. With CNBC's Bob Pisani."
Time to sell in May and go away?," 4:56  AM ET Mon,  4 May 2020","Stocks in April had a great month with the S&P 500 notching its best monthly performance in over 40 years despite coronavirus concerns. Standard Chartered Private Bank's Steve Brice weighs in on whether the old adage ""sell in May and go away"" holds true and what the outlook for risk assets is in this environment."
Clorox CEO boosts ad spend by $50 million as disinfectant demand surges amid coronaviurs pandemic," 4:21  PM ET Wed,  6 May 2020","""We're investing in future capacities so that we're better equipped to meet the demand in future surges,"" Clorox CEO Benno Dorer said."
Cramer's week ahead: Wall Street is having a 'curb-your-enthusiasm moment'," 7:15  PM ET Fri,  1 May 2020","""'Sell in May and go away' is suboptimal advice, people, but this May, it just so happens that the market's run too much versus the fundamentals,"" the ""Mad Money"" host said."
Cramer's lightning round: I am worried about Twilio," 7:13  PM ET Fri,  1 May 2020","""Mad Money"" host Jim Cramer rings the lightning round bell, which means he's giving his answers to callers' stock questions at rapid speed."
"Estee Lauder CEO: 'Consumer finds a way to get the product,' as online sales grow double digits"," 7:01  PM ET Fri,  1 May 2020","""The consumer finds a way to get the product they want"" and ""found a way to buy our product online more than usual,"" Estee Lauder CEO Fabrizio Freda said."
,,
'I think Reynolds is attractive' — Cramer makes buy call on newly public consumer goods company," 7:31  PM ET Fri,  1 May 2020","""I recommend putting on half your position here, and then wait and buy more if it pulls back below $30 after the earnings,"" the ""Mad Money"" host said."
Cramer's lightning round: Wait for Raytheon to go lower and then buy," 7:12  PM ET Thu, 30 April 2020","""Mad Money"" host Jim Cramer rings the lightning round bell, which means he's giving his answers to callers' stock questions at rapid speed."
Cramer says his most trusted indicator 'makes me concerned' about the market's trajectory,"10:54  AM ET Fri,  1 May 2020","Stocks on Wall Street have reached levels that are ""too hot"" for Jim Cramer's liking."
Payroll processor ADP CEO says hiring data indicate the jobs market has begun to 'stabilize'," 9:24  PM ET Wed, 29 April 2020","After weeks of record unemployment claims across the country, ""we have seen a couple of indicators of some bottoming,"" ADP CEO Carlos Rodriguez told CNBC."
Cramer's lightning round: I am all over TJX," 7:16  PM ET Wed, 29 April 2020","""Mad Money"" host Jim Cramer rings the lightning round bell, which means he's giving his answers to callers' stock questions at rapid speed."
Jim Cramer on Wednesday's rally: 'Remdesivir is just what the doctor ordered'," 7:03  PM ET Wed, 29 April 2020","""This drug makes a big difference, especially if you were worried about a second wave of infections after we reopened the economy,"" the ""Mad Money"" host said."
"Jim Cramer reacts to AMD, Starbucks, Boeing, GE and Alphabet earnings reports"," 6:48  PM ET Wed, 29 April 2020","The ""Mad Money"" host offered his thoughts on each companies' latest quarterly results and recommended multiple stocks for buys."
Look to small-cap stocks for returns as markets recover: Citi,"11:35  PM ET Tue, 28 April 2020","Large-cap stocks on the U.S. are weighted towards resilient sectors like e-commerce and digital media, leaving them less affected by signs of a recession, says Steven Wieting of Citi Private Bank. He notes that small-cap shares are more likely to bounce back as the economy recovers."
"Nucor CEO sticks by dividend, predicts steel price bottom in second quarter"," 8:21  PM ET Tue, 28 April 2020","""We are optimistic that we'll see the bottom in Q2 and move out of that as we enter the third and fourth quarters,"" Nucor CEO"
Cramer's lightning round: 'I have no long case for GM'," 7:45  PM ET Tue, 28 April 2020","""Mad Money"" host Jim Cramer rings the lightning round bell, which means he's giving his answers to callers' stock questions at rapid speed."
"Wall Street's 'incredibly strong month' is based on 'hope,' Jim Cramer warns"," 6:44  PM ET Tue, 28 April 2020","""Some of these hopes make more sense than others,"" the ""Mad Money"" host said."
Bulk of S&P 500 dividend yield looks 'sustainable' to me: Savita Subramanian," 2:01  AM ET Tue, 28 April 2020","Technology and financial stocks account for a third of S&P 500 dividend yield. They generally have clean balance sheet and should be able to sustain their dividends, says Savita Subramanian from BofA Securities. She points out pockets of risks in the energy, consumer and small-cap stocks."
Nvidia completes 'homerun deal' after closing $7 billion acquisition of Mellanox," 9:07  PM ET Mon, 27 April 2020","""Man, I've been dreaming about this,"" Nvidia CEO Jensen Huang told CNBC's Jim Cramer."
Jim Cramer: Remember these stocks the 'next time the market rolls over'," 3:53  PM ET Wed, 13 May 2020","""You want to remember this list the next time the market rolls over,"" the ""Mad Money"" host said."
,,
Cramer's lightning round: I would be a buyer of Slack,"11:27  AM ET Fri, 29 May 2020","""Mad Money"" host Jim Cramer rings the lightning round bell, which means he's giving his answers to callers' stock questions at rapid speed."
"The 'new normal' is a lot less investable as states reopen, Jim Cramer says"," 7:03  PM ET Mon, 27 April 2020","""So until we get a vaccine, you need to approach this market as though the world has changed,"" the ""Mad Money"" host said."
Technical analysis on oil and markets,"12:49  AM ET Mon, 27 April 2020","Daryl Guppy of Guppytraders provides technical analysis on oil, S&P 500 and more."
Cramer's lightning round: IHS Markit is a fintech that 'should be bought'," 8:10  PM ET Fri, 24 April 2020","""Mad Money"" host Jim Cramer rings the lightning round bell, which means he's giving his answers to callers' stock questions at rapid speed."
Cramer's week ahead: This earnings week will be a 'tougher test'," 8:02  PM ET Fri, 24 April 2020","""This earnings week is ""chock full of tech stocks, including some household names that have run up substantially from their March lows,"" the ""Mad Money"" host said."
"'We are making a lot of money' amid the oil supply glut, Nordic American Tankers CEO says"," 8:15  PM ET Fri, 24 April 2020","""We are making a lot of money at this time, improving our balance sheet tremendously, and I have never seen such a strong market,"" Nordic American Tankers CEO Herbjørn Hansson said."
,,
"Impossible Foods CFO says its plant-based meat will soon be available in nearly 1,000 stores in US"," 7:53  PM ET Fri, 24 April 2020",Impossible Foods CFO David Lee joined CNBC's Jim Cramer to discuss the company's expansion into more grocery stores across the U.S.
We don't want our clients to chase this bounce: Strategist,"10:56  PM ET Thu, 23 April 2020",Wells Fargo investment committee is neutral on pharma stocks in the middle of the coronavirus pandemic. Their strategist Scott Wren shares some areas that they advise their clients to reduce exposure.
Jim Cramer: Stop buying index funds and buy these 'Covid winners'," 8:56  PM ET Thu, 23 April 2020","""Stop circling the wagons around index funds here,"" the ""Mad Money"" host said."
"Inovio expects to finish recruiting coronavirus vaccine volunteers by end of April, CEO says"," 8:17  PM ET Thu, 23 April 2020","""We expect to finish enrollment of all 40 volunteers before the end of April,"" Inovio CEO Dr. Joseph Kim said. The biotech firm has begun phase one trials."
Domino's CEO on advertising spending: 'We're not slowing down at all'," 7:43  PM ET Thu, 23 April 2020","""We need to lean in even more to get the messages around value and around how we can safely serve our customers,"" Domino's Pizza CEO Ritch Allison said."
Cramer's lightning round: Marvell Technology is 'Mr. 5G'," 7:46  PM ET Thu, 23 April 2020","""Mad Money"" host Jim Cramer rings the lightning round bell, which means he's giving his answers to callers' stock questions at rapid speed."
"European, US markets could fall 15% 'below the lows we've already seen': Strategist"," 5:07  AM ET Thu, 23 April 2020","Markets, especially developed ones, could still hit new lows despite showing resilience and making gains amid the ongoing coronavirus crisis, said Mark Jolley of CCB International Securities."
Digital Realty CEO says sustainability efforts are 'table stakes today'," 8:46  PM ET Wed, 22 April 2020","""We're focused on sustainability because it matters to our customs and because we think it's the right thing to do,"" Digital Realty CEO Bill Stein told CNBC's Jim Cramer."
Cramer's lightning round: I think Roku is good," 7:48  PM ET Wed, 22 April 2020","""Mad Money"" host Jim Cramer rings the lightning round bell, which means he's giving his answers to callers' stock questions at rapid speed."
"Victoria's Secret's woes are a microcosm for shopping malls, Jim Cramer says"," 7:20  PM ET Wed, 22 April 2020","Department stores are in trouble and the coronavirus pandemic is pulling the curtain on vulnerabilities for shopping malls, the ""Mad Money"" host said."
"Stocks of 'good corporate citizens' such as Chipotle, Netflix are thriving, Jim Cramer says"," 6:46  PM ET Wed, 22 April 2020","""Turns out rewarding your employees and protecting your customers is good for business,"" the ""Mad Money"" host said."
"S&P 500 faces more weakness as pressure builds, chart analyst warns"," 7:17  AM ET Wed, 22 April 2020","Plunging oil prices and broad market uncertainty are pushing the index toward key support levels, technical analyst Mark Newton said."
Trump taps medical supplies-maker Puritan Medical to ramp up coronavirus swab testing production,"11:38  PM ET Tue, 21 April 2020",Puritan Medical executive Timothy Templet broke down the private manufacturers efforts to make up to 50 million swabs per month to combat Covid-19.
Markets may see middle of a V- and U-shaped recovery: Fidelity Investments,"11:17  PM ET Tue, 21 April 2020","Jurrien Timmer of Fidelity Investments says that the S&P 500 sitting in a trading range of between 2,500 and 2,900 suggests that markets may settle between the middle of a V- and U-shaped recovery in the next few weeks, if not months."
,,
"Charts show the US could be able to reopen for business in three weeks, Jim Cramer says"," 7:28  PM ET Tue, 21 April 2020","""I'm still very worried about this pandemic … but the charts, as interpreted by Larry Williams, suggest that the future might be brighter than we expect,"" Cramer said."
Cramer's lightning round: I like Broadcom so much," 9:24  PM ET Tue, 21 April 2020","""Mad Money"" host Jim Cramer rings the lightning round bell, which means he's giving his answers to callers' stock questions at rapid speed."
Jim Cramer says it's a 'mistake' for investors to read too deep into the oil collapse," 6:58  PM ET Tue, 21 April 2020","The stock market is ""rolling back some of those gains"" from the $2.2 trillion economic rescue package that Congress passed, the ""Mad Money"" host said."
"These stocks young investors are buying are 'very good for speculation,' Jim Cramer says"," 8:10  PM ET Tue, 21 April 2020","Robinhood trading app's top 10 stock picks for March is a ""fantastic list"" for younger investors, the ""Mad Money"" host said."
"Coronavirus harms the oil market more than OPEC friction, oil commodities expert says"," 9:08  PM ET Mon, 20 April 2020","""I would say that ... 15% of this is Saudi Arabia and Russia and 85% of it is Covid,"" RBN Energy CEO Rusty Braziel said of the state of the oil market."
Jim Cramer: Chipotle is a buy at this price," 7:45  PM ET Mon, 20 April 2020","""Mad Money"" host Jim Cramer rings the lightning round bell, which means he's giving his answers to callers' stock questions at rapid speed."
,,
"Oil market is 'emblematic' of everything wrong with the economy, Jim Cramer says"," 8:11  PM ET Mon, 20 April 2020","""The main takeaway from today is that our economy remains closed and when an economy is closed … you don't need a lot of fossil fuels,"" the ""Mad Money"" host said."
Jim Cramer: Banks 'may need to say goodbye to their dividends'," 8:52  PM ET Thu, 16 April 2020","""[I]f there is a prolonged lockdown, then I think the banks are in trouble,"" the ""Mad Money"" host said."
Jim Cramer advises investors to sell these groups of stocks 'whenever they bounce'," 7:55  PM ET Thu, 16 April 2020","""Unfortunately, there are a lot more losers than winners here and many of them have become uninvestible,"" the ""Mad Money"" host said."
Cramer's lightning round: How to trade Delta Air Lines," 7:42  PM ET Thu, 16 April 2020","""Mad Money"" host Jim Cramer rings the lightning round bell, which means he's giving his answers to callers' stock questions at rapid speed."
Chubb CEO: Forcing insurers to pay pandemic loss claims is 'plainly unconstitutional',"12:59  PM ET Fri, 17 April 2020","Extending business interruption losses is a ""self-inflicted injury"" and would create ""great uncertainty at a time when we have enough uncertainty,"" Chubb CEO Evan Greenberg told CNBC."
Jim Cramer: Johnson & Johnson vaccine candidate makes these stocks compelling," 8:03  PM ET Wed, 15 April 2020","The ""Mad Money"" host is convinced Johnson & Johnson's Covid-19 vaccine efforts will ""make you wish you owned a travel and leisure stock."""
Cramer's lightning round: Amarin has been 'too much of a dice roll'," 7:42  PM ET Wed, 15 April 2020","""Mad Money"" host Jim Cramer rings the lightning round bell, which means he's giving his answers to callers' stock questions at rapid speed."
Jim Cramer: 18 stock picks worth owning over the S&P 500," 7:07  PM ET Wed, 15 April 2020","""Rule No. 1 for the new abnormal is that you stick with the winners and you leave the raggedy rest to the others,"" the ""Mad Money"" host said."
"Parsley Energy CEO says Texas must cut oil production, which hasn't happened since the 1970s"," 6:49  PM ET Wed, 15 April 2020","""My stance is if we don't do something quickly in the face of a pandemic, you are going to cripple this domestic industry on the other side,"" CEO Matt Gallagher told CNBC."
The US consumer will guide the economy to a nice recovery: Strategist,"10:42  PM ET Tue, 14 April 2020",Brian Belski of BMO Capital Markets explains why he thinks consumer spending will pick up despite projections to the contrary.
Cramer on viral 'Mad Money' picture: A 'seething anger sweeping this country' aimed at Wall Street," 7:05  PM ET Tue, 14 April 2020","""I agree it's messed up, but the contrast between a roaring stock market and an obliterated job market does tell you a lot about what's happening at this moment,"" he said."
Cramer's lightning round: Tesla goes higher. Period," 7:03  PM ET Tue, 14 April 2020","""Mad Money"" host Jim Cramer rings the lightning round bell, which means he's giving his answers to callers' stock questions at rapid speed."
GlaxoSmithKline CEO calls coronavirus vaccine partnership with Sanofi 'unprecedented collaboration'," 1:48  PM ET Wed, 15 April 2020","""If we're successful … we're hoping to get to hundreds of millions of doses by the end of next year,"" GlaxoSmithKline CEO Emma Walmsley told CNBC's Jim Cramer."
"CARES Act opens path for companies to offer tax-free student loan benefits, startup Goodly CEO says","10:22  PM ET Mon, 13 April 2020","Goodly, a San Francisco startup, outfits businesses with student loan assistance programs. CEO Greg Poulin said benefits have become more achievable."
,,
"The coronavirus pandemic 'creates an opportunity' for business, Levi Strauss CEO says"," 8:03  PM ET Mon, 13 April 2020","""I fundamentally believe, through this crisis, strong brands are going to emerge from this stronger than ever,"" Levi Strauss CEO Chip Bergh said."
Cramer's lightning round: I think Starbucks is a buy," 7:48  PM ET Mon, 13 April 2020","""Mad Money"" host Jim Cramer rings the lightning round bell, which means he's giving his answers to callers' stock questions at rapid speed."
Jim Cramer: 'I'm feeling more confident about the future'," 7:27  PM ET Mon, 13 April 2020","""When you look at the facts, I think there's reason to be more hopeful than we have been,"" the ""Mad Money"" host said."
Cramer's week ahead: Washington is 'willing to spend big to keep this economy afloat'," 8:40  PM ET Thu,  9 April 2020","""Now, we just need to nail down that public-health side of the equation,"" the ""Mad Money"" host said."
Cramer's lightning round: Calithera is a 'very good spec'," 8:26  PM ET Thu,  9 April 2020","""Mad Money"" host Jim Cramer rings the lightning round bell, which means he's giving his answers to callers' stock questions at rapid speed."
Nancy Pelosi says it's unclear when US economy can reopen — 'We could have a depression'," 7:50  PM ET Thu,  9 April 2020","""This is an era of entrepreneurship like none we've ever seen before because of the challenge to small businesses,"" the House speaker told CNBC."
,,
Jim Cramer spots 8 'instant winners' after China's Wuhan lockdown lifted,"10:06  PM ET Wed,  8 April 2020","""With the opening of Wuhan last night it's a whole new ballgame for the second largest economy in the world,"" the ""Mad Money"" host said"
Cramer's lightning round: I like Uber more than Lyft," 8:28  PM ET Wed,  8 April 2020","""Mad Money"" host Jim Cramer rings the lightning round bell, which means he's giving his answers to callers' stock questions at rapid speed."
"This new normal 'matters for your life and your portfolio,' Jim Cramer says"," 8:04  PM ET Wed,  8 April 2020","""Even when the lockdown ends you've got to be prepared for a new world that looks very different from the old one,"" the ""Mad Money"" host said."
Salesforce is working to bring another load of medical gear to the US this week," 8:13  PM ET Wed,  8 April 2020","""This is a moment where business has to be the greatest platform for change,"" Salesforce CEO Marc Benioff said after donating medical gear to New York."
Australia's parliament set to pass huge stimulus plan as S&P ratings agency lowers 'AAA' outlook,"12:31  AM ET Wed,  8 April 2020","Australia's coveted ""AAA"" rating came under a cloud on Wednesday as its parliament returned to pass an emergency A$130 billion ($80 billion) stimulus package to cushion the economic blow of the coronavirus pandemic."
Jim Cramer says there is a key difference between the 'coronavirus recession' and Great Recession," 9:00  PM ET Tue,  7 April 2020","""I think it's incredible that there's still an appetite for risky debt here, and that could make a huge difference for an ultimate economic comeback,"" the ""Mad Money"" host said."
"Jim Cramer: The VIX shows 'big fear' is out of the market, but stocks aren't 'ready to roar'"," 7:07  PM ET Tue,  7 April 2020","""[T]here's no need to chase stocks after this week's rally. You can afford to be patient and buy the dips,"" the ""Mad Money"" host said."
Cramer's lightning round: 'Take a look at Boeing'," 7:03  PM ET Tue,  7 April 2020","""Mad Money"" host Jim Cramer rings the lightning round bell, which means he's giving his answers to callers' stock questions at rapid speed."
"Jim Cramer predicts 'U' shape recovery, says economy 'will bounce back gradually'"," 7:26  AM ET Wed,  8 April 2020","""In a U-shaped recovery I'm expecting, the stock market will pull back again and that is when you can put some money to work,"" the ""Mad Money"" host said."
Cramer breaks down stay-at-home stock picks 'for the long haul'," 8:08  PM ET Mon,  6 April 2020","Working remotely has so many advantages that ""I think we might be witnessing a more permanent shift in that direction,"" the ""Mad Money"" host said."
Cramer's lightning round: 'I don't want to own any insurance here'," 7:22  PM ET Mon,  6 April 2020","""Mad Money"" host Jim Cramer rings the lightning round bell, which means he's giving his answers to callers' stock questions at rapid speed."
Jim Cramer: Jobless numbers matter more to market than potential peak in coronavirus transmissions," 7:01  PM ET Mon,  6 April 2020","The ""Mad Money"" host said he will be more ""sustainably bullish"" about the market after the ""unemployment rate peaks."""
Cramer's lightning round: Delta Air Lines is not a buy," 7:36  PM ET Fri,  3 April 2020","""Mad Money"" host Jim Cramer rings the lightning round bell, which means he's giving his answers to callers' stock questions at rapid speed."
Cramer's week ahead: 'We could be on the verge of a depression'," 7:35  PM ET Fri,  3 April 2020","""This is gonna be a brutal period, but if we handle things right, it will be a short depression,"" the ""Mad Money"" host said."
,,
"Coronavirus shutdowns work 'to our advantage,' Constellation Brands CEO says"," 7:26  PM ET Fri,  3 April 2020","""You see a lot of channel shift, and you see this in many recessionary environments,"" Constellation Brands CEO Bill Newlands told CNBC's Jim Cramer."
Chipotle to honor $6.5 million in quarterly bonuses. CEO says it's the 'right thing to do'," 3:10  PM ET Fri,  3 April 2020","The pandemic pushed Chipotle into ""tough business situations, but we thought the right thing to do was step in and provide assistance,"" Niccol said."
"The S&P 500 hits an ominous milepost, but trader says it may not be so bad"," 7:40  AM ET Fri,  3 April 2020","The S&P 500 made a ""death cross"" this week, when the 50-day moving average crossed below the 200-day moving average."
"Is the S&P 500 likelier to hit 2,900 or 1,800 by the end of 2020?"," 2:32  AM ET Fri,  3 April 2020","Stephane Monier of Lombard Odier Private Bank outlines the two scenarios which could play out for the markets, and gives his potential targets for the S&P 500 under each one."
Chipotle gift card program to support health-care workers through the coronavirus epidemic," 1:25  PM ET Fri,  3 April 2020","""People that purchase these gift cards will be able to give 10% of those proceeds, roughly, to health-care organizations,"" CEO Brian Niccol said."
Larry Culp on GE Aviation's coronavirus furlough: 'There will be another side'," 8:48  PM ET Thu,  2 April 2020","""We're doing all that we can to support our customers at this time of rapid change and uncertainty,"" General Electric CEO Larry Culp said after temporary cuts were made in its aviation business."
,,
Cramer's lightning round: 'I think it is the time to buy Domino's'," 7:31  PM ET Thu,  2 April 2020","""Mad Money"" host Jim Cramer rings the lightning round bell, which means he's giving his answers to callers' stock questions at rapid speed."
Jim Cramer on Thursday's rally: Investors may be 'grasping at straws'," 6:53  PM ET Thu,  2 April 2020","""This market's so desperate for good news that buyers are willing to grasp even the thinnest of reeds,"" the ""Mad Money"" host said."
Macy's is the first of what could be a retail and energy purge from the S&P 500,"10:26  AM ET Thu,  2 April 2020","Judged solely by market capitalization, many companies in the index appear in danger of being kicked out."
Calvin Klein-parent PVH CEO on Macy's woes: 'We have a great deal of confidence' in their leadership,"10:01  PM ET Wed,  1 April 2020","PVH CEO Manny Chirico said Macy's will be a ""survivor when this is all over and we have a great deal of confidence in that management team."""
"Calvin Klein-parent PVH CEO discloses COVID-19 diagnosis, says 'I'm fine'"," 9:51  PM ET Wed,  1 April 2020","During a recent visit to a Bronx hospital, PVH CEO Manny Chirico said he was ""shocked"" to learn that he was positive for COVID-19."
Cramer's lightning round: Procter & Gamble has 'unbelievable numbers'," 8:32  PM ET Wed,  1 April 2020","""Mad Money"" host Jim Cramer rings the lightning round bell, which means he's giving his answers to callers' stock questions at rapid speed."
Jim Cramer: Investors can 'learn a lot' from first-quarter winners and losers," 7:46  PM ET Wed,  1 April 2020","""In the end, I think the winners from the first quarter keep winning as long as the pandemic rages, and the losers [will] keep losing,"" the ""Mad Money"" host said."
"Wall Street must retest lows after 'rude awakening' on coronavirus, Jim Cramer says"," 9:54  PM ET Wed,  1 April 2020","""I can't blame anyone for selling after that miserable first quarter with very little good news on any front in the battle against COVID,"" the ""Mad Money"" host said."
"People are having 'flashbacks to their childhood' as Chef Boyardee sales tick up, Conagra CEO says"," 8:49  PM ET Tue, 31 March 2020","""Chef Boyardee was growing nicely before COVID. It's doing very well now,"" Conagra Brands CEO Sean Connolly said."
